?s	?nap_id	?class	?napralert_code	?name	?eq	?comment	?partof	?subclasses
<https://www.napralert.org/data/animal/29>	29	<http://www.w3.org/2002/07/owl#Class>	R	RAT				NCBITaxon_10114
<https://www.napralert.org/data/animal/204>	204	<http://www.w3.org/2002/07/owl#Class>	HU	HUMAN ADULT				UBERON_0007023|NCBITaxon_9606
<https://www.napralert.org/data/animal/227>	227	<http://www.w3.org/2002/07/owl#Class>	LT	LEPUS TIMIDUS				NCBITaxon_62621
<https://www.napralert.org/data/animal/41>	41	<http://www.w3.org/2002/07/owl#Class>	RN	RAM				NCBITaxon_9940
<https://www.napralert.org/data/animal/161>	161	<http://www.w3.org/2002/07/owl#Class>	DU	EGG(DUCK)				UBERON_0007379
<https://www.napralert.org/data/animal/54>	54	<http://www.w3.org/2002/07/owl#Class>	SN	SNAIL				NCBITaxon_6448
<https://www.napralert.org/data/animal/205>	205	<http://www.w3.org/2002/07/owl#Class>	HV	RAT(F344)				NCBITaxon_10114
<https://www.napralert.org/data/animal/111>	111	<http://www.w3.org/2002/07/owl#Class>	BH	BUDGERIGAR				NCBITaxon_13146
<https://www.napralert.org/data/animal/146>	146	<http://www.w3.org/2002/07/owl#Class>	CU	CORYNE UCHIDAI				NCBITaxon_662077
<https://www.napralert.org/data/animal/11>	11	<http://www.w3.org/2002/07/owl#Class>	PB	PERIPLANETA AMERICANA				NCBITaxon_6978
<https://www.napralert.org/data/animal/30>	30	<http://www.w3.org/2002/07/owl#Class>	RA	RABBIT				NCBITaxon_9979
<https://www.napralert.org/data/animal/141>	141	<http://www.w3.org/2002/07/owl#Class>	CP	COW(PREGNANT)				UBERON_0009097|NCBITaxon_9913|PATO_0000383
<https://www.napralert.org/data/animal/5>	5	<http://www.w3.org/2002/07/owl#Class>	OM	MOUSE(OVARIECTOMIZED)				NCBITaxon_10088|PATO_0002380
<https://www.napralert.org/data/animal/236>	236	<http://www.w3.org/2002/07/owl#Class>	M8	MACACA ARCTOIDES				NCBITaxon_9540
<https://www.napralert.org/data/animal/67>	67	<http://www.w3.org/2002/07/owl#Class>	TM	TOAD		Not precise enough (J.B.)		NCBITaxon_8342
<https://www.napralert.org/data/animal/102>	102	<http://www.w3.org/2002/07/owl#Class>	AT	ATRIPLEX HALIMUS				NCBITaxon_240028
<https://www.napralert.org/data/animal/88>	88	<http://www.w3.org/2002/07/owl#Class>	AB	AEDES AEGYPTI				NCBITaxon_7159
<https://www.napralert.org/data/animal/166>	166	<http://www.w3.org/2002/07/owl#Class>	EL	ELK				NCBITaxon_1574408
<https://www.napralert.org/data/animal/217>	217	<http://www.w3.org/2002/07/owl#Class>	KT	SPARROW				NCBITaxon_9158
<https://www.napralert.org/data/animal/33>	33	<http://www.w3.org/2002/07/owl#Class>	RD	RODENT				NCBITaxon_9989
<https://www.napralert.org/data/animal/174>	174	<http://www.w3.org/2002/07/owl#Class>	FR	FROG				NCBITaxon_8342
<https://www.napralert.org/data/animal/94>	94	<http://www.w3.org/2002/07/owl#Class>	AH	CALLITHRIX JACCHUS JACCHUS				NCBITaxon_9483
<https://www.napralert.org/data/animal/194>	194	<http://www.w3.org/2002/07/owl#Class>	HE	HAMSTER(PREGNANT)				UBERON_0009097|NCBITaxon_10026
<https://www.napralert.org/data/animal/216>	216	<http://www.w3.org/2002/07/owl#Class>	KB	KOALA				NCBITaxon_38626
<https://www.napralert.org/data/animal/209>	209	<http://www.w3.org/2002/07/owl#Class>	HZ	PSAMMOMYS OBESUS	<https://www.napralert.org/data/animal/57>			NCBITaxon_48139
<https://www.napralert.org/data/animal/167>	167	<http://www.w3.org/2002/07/owl#Class>	EP	MASTOMYS COUCHA				NCBITaxon_35658
<https://www.napralert.org/data/animal/183>	183	<http://www.w3.org/2002/07/owl#Class>	GH	GAMBUSIA HOLBROOKI				NCBITaxon_37273
<https://www.napralert.org/data/animal/19>	19	<http://www.w3.org/2002/07/owl#Class>	PK	MONKEY(PREGNANT)				UBERON_0009097|NCBITaxon_314293
<https://www.napralert.org/data/animal/171>	171	<http://www.w3.org/2002/07/owl#Class>	FF	DROSOPHILA				NCBITaxon_7215
<https://www.napralert.org/data/animal/86>	86	<http://www.w3.org/2002/07/owl#Class>	A9	MONKEY(PRESBYTIS)				NCBITaxon_9573
<https://www.napralert.org/data/animal/104>	104	<http://www.w3.org/2002/07/owl#Class>	B1	ARMIGERES SUBALBATUS				NCBITaxon_124917
<https://www.napralert.org/data/animal/169>	169	<http://www.w3.org/2002/07/owl#Class>	EW	EARTHWORM				NCBITaxon_6391|NCBITaxon_684783
<https://www.napralert.org/data/animal/85>	85	<http://www.w3.org/2002/07/owl#Class>	A8	MOUSE(NZB-NZW)				NCBITaxon_10088
<https://www.napralert.org/data/animal/223>	223	<http://www.w3.org/2002/07/owl#Class>	LE	LEMMING				NCBITaxon_79948
<https://www.napralert.org/data/animal/202>	202	<http://www.w3.org/2002/07/owl#Class>	HR	HEIFER				NCBITaxon_9913|PATO_0000309|PATO_0000383
<https://www.napralert.org/data/animal/52>	52	<http://www.w3.org/2002/07/owl#Class>	SH	EWE				NCBITaxon_9940|PATO_0000383
<https://www.napralert.org/data/animal/118>	118	<http://www.w3.org/2002/07/owl#Class>	C	CAT				NCBITaxon_9685
<https://www.napralert.org/data/animal/87>	87	<http://www.w3.org/2002/07/owl#Class>	AA	TISBE FURCATA JOHNSONII				NCBITaxon_291243
<https://www.napralert.org/data/animal/91>	91	<http://www.w3.org/2002/07/owl#Class>	AE	TUPAIA GLIS				NCBITaxon_9395
<https://www.napralert.org/data/animal/133>	133	<http://www.w3.org/2002/07/owl#Class>	CG	CHIMPANZEE				NCBITaxon_9598
<https://www.napralert.org/data/animal/61>	61	<http://www.w3.org/2002/07/owl#Class>	TA	TAENIA PISIFORMIS				NCBITaxon_85432
